task,n,processes,threads,total_workers,Average of total,Average of search,Average of communication,Average of post,Speedup,Serial Fraction,Parallel Fraction,Theoretical Speedup,,,,,,,,,,,,,
task2,20000000,2,2,4,5.199,4.769,0.007,0.423,5.130,0.026,0.974,3.713,,,,,,,,,,,,,
task2,20000000,2,4,8,2.982,2.554,0.005,0.424,8.943,0.026,0.974,6.779,,,,,,,,,,,,,
task2,20000000,2,8,16,2.234,1.797,0.010,0.431,11.939,0.026,0.974,11.543,,,,,,,,,,,,,
task2,20000000,4,1,4,5.256,4.765,0.154,0.487,5.074,0.026,0.974,3.713,,,,,,,,,,,,,
task2,20000000,4,2,8,3.100,2.608,0.046,0.488,8.603,0.026,0.974,6.779,,Configuration,Empirical Speedup,Theoretical Speedup,,,,,,,,,
task2,20000000,4,4,16,2.285,1.757,0.020,0.522,11.674,0.026,0.974,11.543,,1x1,1.026,1.000,,,,,,,,,
task2,20000000,8,1,8,3.375,2.667,0.131,0.705,7.903,0.026,0.974,6.779,,1x2,1.803,1.965,,,,,,,,,
task2,20000000,8,2,16,2.408,1.773,0.030,0.631,11.078,0.026,0.974,11.543,,1x4,3.605,3.797,,,,,,,,,
task2,20000000,16,1,16,3.314,1.840,0.145,1.469,8.049,0.026,0.974,11.543,,1x8,6.243,7.113,,,,,,,,,
task2,30000000,1,1,1,32.033,31.282,0.003,0.744,1.474,0.022,0.978,1.000,,1x16,8.486,12.627,,,,,,,,,
task2,30000000,1,2,2,16.724,16.006,0.002,0.712,2.823,0.022,0.978,1.958,,2x1,2.021,1.965,,,,,,,,,
task2,30000000,1,4,4,9.579,8.892,0.003,0.681,4.928,0.022,0.978,3.757,,2x2,3.623,3.797,,,,,,,,,
task2,30000000,1,8,8,5.198,4.518,0.003,0.672,9.082,0.022,0.978,6.953,,2x4,5.963,7.113,,,,,,,,,
task2,30000000,1,16,16,3.967,3.294,0.003,0.662,11.900,0.022,0.978,12.096,,2x8,7.787,12.627,,,,,,,,,
task2,30000000,2,1,2,16.832,16.165,0.003,0.663,2.805,0.022,0.978,1.958,,4x1,2.858,3.797,,,,,,,,,
task2,30000000,2,2,4,8.966,8.329,0.005,0.631,5.265,0.022,0.978,3.757,,4x2,4.826,7.113,,,,,,,,,
task2,30000000,2,4,8,5.133,4.513,0.005,0.614,9.198,0.022,0.978,6.953,,4x4,6.233,12.627,,,,,,,,,
task2,30000000,2,8,16,3.798,3.124,0.005,0.666,12.430,0.022,0.978,12.096,,8x1,4.481,7.113,,,,,,,,,
task2,30000000,4,1,4,9.074,8.328,0.267,0.741,5.203,0.022,0.978,3.757,,8x2,6.073,12.627,,,,,,,,,
task2,30000000,4,2,8,5.283,4.517,0.064,0.761,8.937,0.022,0.978,6.953,,16x1,5.085,12.627,,,,,,,,,
task2,30000000,4,4,16,3.835,3.071,0.030,0.759,12.311,0.022,0.978,12.096,,,,,,,,,,,,,
task2,30000000,8,1,8,5.527,4.590,0.210,0.934,8.542,0.022,0.978,6.953,,Configuration,Empirical Speedup,Theoretical Speedup,,,,,,,,,
task2,30000000,8,2,16,4.139,3.199,0.075,0.937,11.406,0.022,0.978,12.096,,1x1,1.621,1.000,,,,,,,,,
task2,30000000,16,1,16,5.045,3.469,0.201,1.572,9.357,0.022,0.978,12.096,,1x2,2.942,1.933,,,,,,,,,
task2,50000000,1,1,1,64.161,62.962,0.004,1.191,1.026,0.018,0.982,1.000,,1x4,5.075,3.623,,,,,,,,,
task2,50000000,1,2,2,36.496,35.296,0.004,1.191,1.803,0.018,0.982,1.965,,1x8,8.545,6.436,,,,,,,,,
task2,50000000,1,4,4,18.255,17.170,0.005,1.075,3.605,0.018,0.982,3.797,,1x16,11.054,10.522,,,,,,,,,
task2,50000000,1,8,8,10.541,9.455,0.004,1.076,6.243,0.018,0.982,7.113,,2x1,2.939,1.933,,,,,,,,,
task2,50000000,1,16,16,7.755,6.604,0.004,1.138,8.486,0.018,0.982,12.627,,2x2,5.097,3.623,,,,,,,,,
task2,50000000,2,1,2,32.565,31.538,0.004,1.021,2.021,0.018,0.982,1.965,,2x4,8.642,6.436,,,,,,,,,
task2,50000000,2,2,4,18.165,17.124,0.007,1.030,3.623,0.018,0.982,3.797,,2x8,11.525,10.522,,,,,,,,,
task2,50000000,2,4,8,11.038,9.821,0.006,1.207,5.963,0.018,0.982,7.113,,4x1,5.019,3.623,,,,,,,,,
task2,50000000,2,8,16,8.451,7.156,0.005,1.284,7.787,0.018,0.982,12.627,,4x2,8.296,6.436,,,,,,,,,
task2,50000000,4,1,4,23.030,21.675,0.775,1.347,2.858,0.018,0.982,3.797,,4x4,10.643,10.522,,,,,,,,,
task2,50000000,4,2,8,13.638,12.160,0.188,1.470,4.826,0.018,0.982,7.113,,8x1,7.756,6.436,,,,,,,,,
task2,50000000,4,4,16,10.559,8.957,0.036,1.592,6.233,0.018,0.982,12.627,,8x2,9.745,10.522,,,,,,,,,
task2,50000000,8,1,8,14.688,12.665,0.612,2.015,4.481,0.018,0.982,7.113,,16x1,7.741,10.522,,,,,,,,,
task2,50000000,8,2,16,10.838,8.828,0.209,2.002,6.073,0.018,0.982,12.627,,,,,,,,,,,,,
task2,50000000,16,1,16,12.943,9.454,0.519,3.478,5.085,0.018,0.982,12.627,,,,,,,,,,,,,
